gene_symbol,Rigi
analysis_id,5k371z420ki04rk
pvalue,0.2362158
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Time mobile light side
gene_accession_id,MGI:2442858
parameter_id,JAX_LDT_003_001
