parameter_id,MGP_CSD_030_001
gene_symbol,Ivd
analysis_id,jd7jg3t6408n02r
parameter_name,Limb coat/hair presence
pvalue,0.2134773
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1929242
