gene_symbol,Ola1
analysis_id,164q658ofn06t90
mouse_life_stage,E18.5
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
pvalue,0.07086767
gene_accession_id,MGI:1914309
