analysis_id,z884if8jh330q2h
mouse_strain,C57BL
pvalue,0.7960502
gene_symbol,Hrnr
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
parameter_id,MGP_IMM_079_001
