analysis_id,95683s14e6ex0re
gene_accession_id,MGI:95576
pvalue,0.09094129
mouse_life_stage,Early adult
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
gene_symbol,Fpgs
mouse_strain,C57BL
