gene_symbol,Hrnr
pvalue,0.2848463
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
analysis_id,4208udh3kyir8qi
parameter_name,Neural tube morphology
