gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t9rr8b6w5qp0l0p
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.07150806
parameter_id,IMPC_ACS_034_001
