parameter_name,Mean-cell-volume
analysis_id,e6q2ns8ka061921
pvalue,0.434372
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
mouse_life_stage,Early adult
mouse_strain,C57BL
