gene_symbol,Golm2
analysis_id,784491986b6rwc9
gene_accession_id,MGI:2443129
parameter_id,IMPC_HEM_008_001
pvalue,0.7823553
mouse_life_stage,Early adult
parameter_name,Platelet count
mouse_strain,C57BL
