analysis_id,92s8r45r597963w
parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5889275
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
