gene_symbol,Rnf114
pvalue,0.4147936
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
parameter_id,IMPC_GRS_009_001
analysis_id,i761339h4o5q182
gene_accession_id,MGI:1933159
