analysis_id,hb3l20br26x9rcr
parameter_name,Calcium
pvalue,0.6904059
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:104848
