parameter_id,IMPC_DXA_010_001
pvalue,0.3711969
mouse_life_stage,E18.5
parameter_name,Bone Area
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,85cb1k1lz39989a
gene_symbol,Zyg11b
