parameter_id,IMPC_HWT_008_001
analysis_id,e98v2nfopc0l85g
gene_symbol,Lpgat1
parameter_name,Heart weight
mouse_life_stage,E18.5
pvalue,0.1938534
mouse_strain,C57BL
gene_accession_id,MGI:2446186
