parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
pvalue,0.6181564
parameter_id,MGP_PBI_038_001
gene_symbol,Arnt
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
analysis_id,w141e1c61ga088b
