analysis_id,tx8df9z23l39q72
gene_accession_id,MGI:1922745
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
pvalue,0.9107062
parameter_id,MGP_IMM_011_001
mouse_life_stage,Early adult
gene_symbol,Morn5
