gene_symbol,Ssr2
pvalue,0.8474102
parameter_name,Tibia
gene_accession_id,MGI:1913506
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5l94u88i074dz6a
