analysis_id,ir444527970t52y
mouse_life_stage,E12.5
pvalue,0.8058352
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1915087
parameter_id,MGP_IMM_027_001
gene_symbol,Tiprl
