gene_symbol,Bmi1
parameter_id,IMPC_DXA_002_001
mouse_life_stage,E15.5
parameter_name,Fat mass
analysis_id,43k6c51xn97mjyx
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.2437071
