gene_symbol,Tatdn3
pvalue,0.5628244
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
analysis_id,36s3x9df249nu6w
parameter_name,NKT cells (panel A)
gene_accession_id,MGI:1916222
