parameter_name,Hindlimbs - shape
gene_symbol,Zcchc2
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
analysis_id,q3mxdr1fx138067
mouse_strain,C57BL
pvalue,0.8611201
