parameter_name,Potassium
mouse_strain,C57BL
gene_symbol,Sla2
mouse_life_stage,Early adult
parameter_id,GMC_906_001_005
pvalue,0.423467
gene_accession_id,MGI:1925049
analysis_id,g62vjvy2enxwl4u
