analysis_id,l9e4m0q667p92sp
mouse_life_stage,Early adult
parameter_id,HRWLLA_FEA_015_001
gene_symbol,Dnajc6
mouse_strain,C57BL
gene_accession_id,MGI:1919935
pvalue,0.3856024
parameter_name,Cue Baseline % Freezing Time
