analysis_id,u488sfudzd33325
gene_accession_id,MGI:3045306
pvalue,0.3307592
gene_symbol,Exd1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
