parameter_name,Time mobile dark side
gene_accession_id,MGI:1924054
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3cytzyy0jfxd253
pvalue,0.4504539
gene_symbol,Kdm4c
parameter_id,JAX_LDT_005_001
