analysis_id,6o5mr78053bvd86
parameter_id,MGP_MLN_010_001
gene_symbol,DNAAF9
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4622239
