parameter_name,Neutrophil cell count
gene_accession_id,MGI:2446274
pvalue,0.9138775
mouse_strain,C57BL
analysis_id,k82s82b9o739cjz
parameter_id,IMPC_HEM_030_001
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
