analysis_id,5g5j9zoy32l5308
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_id,IMPC_ECH_008_001
pvalue,0.7500108
parameter_name,LVIDd
