parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
gene_symbol,Slc30a4
pvalue,0.3720075
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,920u9rg4r8379lo
mouse_life_stage,Middle aged adult
