analysis_id,21bi7631s1fmycf
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,HMGULA_DYS_024_001
gene_symbol,Zcchc2
pvalue,0.7972151
