analysis_id,7065ehix4fku0o0
mouse_strain,C57BL
parameter_name,Coat colouration
pvalue,0.8378347
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
