analysis_id,fl108f575q6h442
gene_symbol,Morn5
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
mouse_strain,C57BL
pvalue,0.3854276
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
