gene_symbol,Tatdn3
analysis_id,09qrsf078c3e361
parameter_name,Lens Opacity
pvalue,0.5829094
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
