gene_symbol,Zc2hc1a
mouse_strain,C57BL
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
parameter_name,Fusion of vertebrae
analysis_id,3y5u6x872102p7t
pvalue,0.338733
parameter_id,M-G-P_006_001_026
