parameter_id,IMPC_GRS_011_001
analysis_id,x1wyic643d0257m
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.4026217
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
mouse_strain,C57BL
mouse_life_stage,Early adult
