analysis_id,3yhs6253t773022
pvalue,0.5018605
mouse_strain,C57BL
gene_symbol,Ufc1
parameter_id,IMPC_HEM_031_001
parameter_name,Lymphocyte differential count
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
