analysis_id,2z20t49pc8ob901
parameter_name,110dB startle magnitude
pvalue,0.4959921
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lcn2
gene_accession_id,MGI:96757
parameter_id,ESLIM_011_001_006
