analysis_id,h62a307104qj0df
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
parameter_id,MGP_MLN_093_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3021627
