gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
parameter_name,Center resting time
analysis_id,ypk9u8i61765s18
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
pvalue,0.8226729
