gene_symbol,Trdmt1
mouse_strain,C57BL
analysis_id,76f5zya2i3b2076
parameter_name,Resting Treg cells - % of Treg
pvalue,0.1477366
parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
