parameter_name,Femur
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
pvalue,0.08534384
gene_symbol,Hpca
analysis_id,w33edx24mq27wo0
gene_accession_id,MGI:1336200
mouse_strain,C57BL
