gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,M-G-P_013_001_001
pvalue,0.5451996
parameter_name,Eye
analysis_id,g9o6o0o8j1l6832
