parameter_name,B cell number
gene_accession_id,MGI:2385156
pvalue,0.5314956
analysis_id,407qsqt03n33a9j
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_symbol,SDCBP2
mouse_life_stage,Early adult
