parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,E9.5
gene_symbol,Orc2
mouse_strain,C57BL
analysis_id,9gk58ek0j8vp0a3
gene_accession_id,MGI:1328306
pvalue,0.4947808
