gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:2448481
parameter_name,CD11b-high cDC - % of CD45+
mouse_strain,C57BL
pvalue,0.7458383
analysis_id,vi7yr1fsyc0hgr4
