gene_symbol,Lrrc69
analysis_id,t56zm64z9g165o8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1920564
parameter_id,MGP_IMM_007_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4381325
