parameter_id,HMGULA_SHI_009_001
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
pvalue,0.4632477
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,32a5941l6321a54
parameter_name,Startle response
