analysis_id,n31666u5n11z9nl
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,CCP_LFO_001_001
pvalue,0.1349746
parameter_name,Weight
gene_symbol,Alkbh3
