gene_symbol,Atrn
gene_accession_id,MGI:1341628
pvalue,0.3564048
analysis_id,190c1o5894h19y3
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
parameter_name,Bone Area
