analysis_id,nr4ws7s77z0s5dv
pvalue,0.6713511
parameter_id,IMPC_ECG_002_001
parameter_name,HR
mouse_life_stage,E12.5
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
