analysis_id,1eqr9034tdq9243
mouse_life_stage,Early adult
gene_symbol,Slc17a9
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:1919107
pvalue,0.2154748
mouse_strain,C57BL
