parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
analysis_id,2s540h5s5216pt8
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
pvalue,0.6825679
parameter_name,Lens Opacity
gene_symbol,Psmd14
