parameter_name,Blood Vessel Morphology
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_id,IMPC_GEO_011_001
analysis_id,088n54ymd64mi16
pvalue,0.6216556
mouse_life_stage,Early adult
gene_symbol,Ncaph
