analysis_id,frj1592s26tk244
mouse_strain,C57BL
pvalue,0.4474563
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_name,Whole arena resting time
gene_symbol,Bmi1
parameter_id,JAXLA_OFD_007_001
