parameter_name,Fusion of vertebrae
pvalue,0.2917218
parameter_id,M-G-P_006_001_026
mouse_life_stage,Early adult
analysis_id,gt8fo32m908uh76
gene_accession_id,MGI:106659
mouse_strain,C57BL
gene_symbol,Sprr1b
