mouse_strain,129SV
pvalue,0.2738294
analysis_id,x4684c8yi0t97o1
parameter_name,Total CD4+ T cells - % of CD45+
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
gene_symbol,Nipal3
