parameter_name,Lens Opacity
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1345282
analysis_id,1l5aruqhqv0059l
pvalue,0.7504531
