analysis_id,kq8ln4vs5976plc
pvalue,0.9013014
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
gene_symbol,Sdcbp2
mouse_strain,C57BL
parameter_name,Weight
gene_accession_id,MGI:2385156
