parameter_name,Chloride
gene_symbol,Tiprl
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_id,HMGULA_CBC_003_001
pvalue,0.09889087
mouse_life_stage,E9.5
analysis_id,hx1d178487cp0y3
