analysis_id,sw1jhm26j3mw80o
pvalue,0.9862438
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,E12.5
