gene_symbol,Ddx27
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Early adult
parameter_name,Neutrophil differential count
pvalue,0.6999684
gene_accession_id,MGI:2385884
mouse_strain,129SV
analysis_id,3hs7q56at0wbugz
