parameter_name,Skull shape
gene_accession_id,MGI:95835
gene_symbol,Hspa5
analysis_id,9aa24453vg19i4f
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
pvalue,0.8961711
