analysis_id,1aq039ttx9e9g34
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
pvalue,0.2901984
mouse_strain,129SV
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,Body Weight
