parameter_name,Edema
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEO_064_001
analysis_id,ak02dn8uo5f2th6
gene_symbol,Frmpd1
mouse_life_stage,Early adult
pvalue,0.5965824
